time;operation;price;result;stopUp;stopDown;baseInvest;status
2022-01-03T10:15:00+01:00;BUY;75.872;;0.5;1;10000;OPEN
2022-01-04T11:00:00+01:00;BUY;76.484;GAIN;0.5;1;10000;CLOSE
2022-01-06T03:45:00+01:00;SELL;76.725;;0.5;1;10000;OPEN
2022-01-06T10:30:00+01:00;SELL;77.738;LOSE;0.5;1;10000;CLOSE
2022-01-07T19:30:00+01:00;SELL;78.475;;0.5;1;10000;OPEN
2022-01-10T16:00:00+01:00;SELL;77.692;GAIN;0.5;1;10000;CLOSE
2022-01-10T16:30:00+01:00;SELL;78.176;;0.5;1;10000;OPEN
2022-01-10T18:30:00+01:00;SELL;77.675;GAIN;0.5;1;10000;CLOSE
2022-01-10T18:45:00+01:00;SELL;77.815;;0.5;1;10000;OPEN
2022-01-11T10:30:00+01:00;SELL;79.036;LOSE;0.5;1;10000;CLOSE
2022-01-11T11:00:00+01:00;BUY;78.929;;0.5;1;10000;OPEN
2022-01-11T15:00:00+01:00;BUY;79.464;GAIN;0.5;1;10000;CLOSE
2022-01-14T01:00:00+01:00;SELL;81.251;;0.5;1;10000;OPEN
2022-01-14T11:00:00+01:00;SELL;82.343;LOSE;0.5;1;10000;CLOSE
